"city","country","geo","date_time","pollutantGlobalIndex","pollutantGlobalLevel","so2Value","so2Index","so2Level","no2Value","no2Index","no2Level","o3Value","o3Index","o3Level","coValue","coIndex","coLevel","pm25Value","pm25Index","pm25Level","pm10Value","pm10Index","pm10Level","city_id","id"
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.81,1,1,0,0,0,44.11,3,2,NULL,NULL,NULL,19.47,6,3,0,0,0,1079,1937668
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.81,1,1,0,0,0,44.02,3,2,NULL,NULL,NULL,20.18,6,3,0,0,0,1079,1937669
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.82,1,1,0,0,0,44.16,3,2,NULL,NULL,NULL,12,4,3,0,0,0,1079,1937670
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,12,4,3,0,0,0,1079,1937671
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937672
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.82,1,1,0,0,0,44.11,3,2,NULL,NULL,NULL,12,4,3,0,0,0,1079,1937673
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.8,1,1,0,0,0,43.86,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937674
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.8,1,1,0,0,0,43.67,3,2,NULL,NULL,NULL,18.76,6,3,0,0,0,1079,1937675
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.79,1,1,0,0,0,43.38,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937676
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.38,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937677
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.79,1,1,0,0,0,43.38,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937678
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.67,3,2,NULL,NULL,NULL,12,4,3,0,0,0,1079,1937679
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.67,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937680
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.81,1,1,0,0,0,44,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937681
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.19,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937682
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.19,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937683
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.15,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937684
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.3,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937685
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.3,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937686
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.34,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937687
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.8,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937688
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.37,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937689
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.51,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937690
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.56,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937691
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.47,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937692
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.66,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937693
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.8,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937694
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937695
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937696
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.38,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937697
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.53,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937698
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.84,1,1,0,0,0,44.53,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937699
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.84,1,1,0,0,0,44.58,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937700
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.32,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937701
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,44.32,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937702
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.56,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937703
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.56,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937704
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.37,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937705
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.37,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937706
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937707
